Search string                    Error Message
&amp;Ncaron;                     E / Do not convert ampersand on conversion
&amp;ncedil;                     E / Do not convert ampersand on conversion
&amp;Ncedil;                     E / Do not convert ampersand on conversion
&amp;odblac;                     E / Do not convert ampersand on conversion
&amp;Odblac;                     E / Do not convert ampersand on conversion
&amp;Omacr;                      E / Do not convert ampersand on conversion
&amp;omacr;                      E / Do not convert ampersand on conversion
&amp;ocaron;                     E / Do not convert ampersand on conversion
&amp;oelig;                      E / Do not convert ampersand on conversion
&amp;OElig;                      E / Do not convert ampersand on conversion
&amp;racute;                     E / Do not convert ampersand on conversion
&amp;Racute;                     E / Do not convert ampersand on conversion
&amp;rcaron;                     E / Do not convert ampersand on conversion
&amp;Rcaron;                     E / Do not convert ampersand on conversion
&amp;rcedil;                     E / Do not convert ampersand on conversion
&amp;Rcedil;                     E / Do not convert ampersand on conversion
&amp;scaron;                     E / Do not convert ampersand on conversion
&amp;Scaron;                     E / Do not convert ampersand on conversion
&amp;scedil;                     E / Do not convert ampersand on conversion
&amp;Scedil;                     E / Do not convert ampersand on conversion
&amp;scirc;                      E / Do not convert ampersand on conversion
&amp;Scirc;                      E / Do not convert ampersand on conversion
&amp;tcaron;                     E / Do not convert ampersand on conversion
&amp;Tcaron;                     E / Do not convert ampersand on conversion
&amp;tcedil;                     E / Do not convert ampersand on conversion
&amp;Tcedil;                     E / Do not convert ampersand on conversion
&amp;tstrok;                     E / Do not convert ampersand on conversion
&amp;Tstrok;                     E / Do not convert ampersand on conversion
&amp;ubreve;                     E / Do not convert ampersand on conversion
&amp;Ubreve;                     E / Do not convert ampersand on conversion
&amp;udblac;                     E / Do not convert ampersand on conversion
&amp;Udblac;                     E / Do not convert ampersand on conversion
&amp;umacr;                      E / Do not convert ampersand on conversion
&amp;Umacr;                      E / Do not convert ampersand on conversion
&amp;uogon;                      E / Do not convert ampersand on conversion
&amp;Uogon;                      E / Do not convert ampersand on conversion
&amp;uring;                      E / Do not convert ampersand on conversion
&amp;Uring;                      E / Do not convert ampersand on conversion
&amp;utilde;                     E / Do not convert ampersand on conversion
&amp;Utilde;                     E / Do not convert ampersand on conversion
&amp;wcirc;                      E / Do not convert ampersand on conversion
&amp;Wcirc;                      E / Do not convert ampersand on conversion
&amp;ycirc;                      E / Do not convert ampersand on conversion
&amp;Ycirc;                      E / Do not convert ampersand on conversion
&amp;Yuml;                       E / Do not convert ampersand on conversion
&amp;zacute;                     E / Do not convert ampersand on conversion
&amp;Zacute;                     E / Do not convert ampersand on conversion
&amp;zcaron;                     E / Do not convert ampersand on conversion
&amp;Zcaron;                     E / Do not convert ampersand on conversion
&amp;zdot;                       E / Do not convert ampersand on conversion
&amp;Zdot;                       E / Do not convert ampersand on conversion
&amp;tilde;                      E / Do not convert ampersand on conversion
&amp;emsp;                       E / Do not convert ampersand on conversion
&amp;ensp;                       E / Do not convert ampersand on conversion
&amp;emsp13;                     E / Do not convert ampersand on conversion
&amp;emsp14;                     E / Do not convert ampersand on conversion
&amp;numsp;                      E / Do not convert ampersand on conversion
&amp;puncsp;                     E / Do not convert ampersand on conversion
&amp;thinsp;                     E / Do not convert ampersand on conversion
&amp;hairsp;                     E / Do not convert ampersand on conversion
&amp;mdash;                      E / Do not convert ampersand on conversion
&amp;ndash;                      E / Do not convert ampersand on conversion
&amp;dash;                       E / Do not convert ampersand on conversion
&amp;blank;                      E / Do not convert ampersand on conversion
&amp;hellip;                     E / Do not convert ampersand on conversion
&amp;nldr;                       E / Do not convert ampersand on conversion
&amp;frac13;                     E / Do not convert ampersand on conversion
&amp;frac23;                     E / Do not convert ampersand on conversion
&amp;frac15;                     E / Do not convert ampersand on conversion
&amp;frac25;                     E / Do not convert ampersand on conversion
&amp;frac35;                     E / Do not convert ampersand on conversion
&amp;frac45;                     E / Do not convert ampersand on conversion
&amp;frac16;                     E / Do not convert ampersand on conversion
&amp;frac56;                     E / Do not convert ampersand on conversion
&amp;incare;                     E / Do not convert ampersand on conversion
&amp;frac18;                     E / Do not convert ampersand on conversion
&amp;frac38;                     E / Do not convert ampersand on conversion
&amp;frac58;                     E / Do not convert ampersand on conversion
&amp;frac78;                     E / Do not convert ampersand on conversion
&amp;block;                      E / Do not convert ampersand on conversion
&amp;uhblk;                      E / Do not convert ampersand on conversion
&amp;lhblk;                      E / Do not convert ampersand on conversion
&amp;blk14;                      E / Do not convert ampersand on conversion
&amp;blk12;                      E / Do not convert ampersand on conversion
&amp;blk34;                      E / Do not convert ampersand on conversion
&amp;marker;                     E / Do not convert ampersand on conversion
&amp;cir;                        E / Do not convert ampersand on conversion
&amp;squ;                        E / Do not convert ampersand on conversion
&amp;rect;                       E / Do not convert ampersand on conversion
&amp;utri;                       E / Do not convert ampersand on conversion
&amp;dtri;                       E / Do not convert ampersand on conversion
&amp;star;                       E / Do not convert ampersand on conversion
&amp;bull;                       E / Do not convert ampersand on conversion
&amp;squf;                       E / Do not convert ampersand on conversion
&amp;utrif;                      E / Do not convert ampersand on conversion
&amp;dtrif;                      E / Do not convert ampersand on conversion
&amp;ltrif;                      E / Do not convert ampersand on conversion
&amp;rtrif;                      E / Do not convert ampersand on conversion
&amp;clubs;                      E / Do not convert ampersand on conversion
&amp;diams;                      E / Do not convert ampersand on conversion
&amp;hearts;                     E / Do not convert ampersand on conversion
&amp;spades;                     E / Do not convert ampersand on conversion
&amp;malt;                       E / Do not convert ampersand on conversion
&amp;dagger;                     E / Do not convert ampersand on conversion
&amp;Dagger;                     E / Do not convert ampersand on conversion
&amp;check;                      E / Do not convert ampersand on conversion
&amp;cross;                      E / Do not convert ampersand on conversion
&amp;sharp;                      E / Do not convert ampersand on conversion
&amp;flat;                       E / Do not convert ampersand on conversion
&amp;male;                       E / Do not convert ampersand on conversion
&amp;female;                     E / Do not convert ampersand on conversion
&amp;phone;                      E / Do not convert ampersand on conversion
&amp;telrec;                     E / Do not convert ampersand on conversion
&amp;copysr;                     E / Do not convert ampersand on conversion
&amp;caret;                      E / Do not convert ampersand on conversion
&amp;lsquor;                     E / Do not convert ampersand on conversion
&amp;ldquor;                     E / Do not convert ampersand on conversion
&amp;fflig;                      E / Do not convert ampersand on conversion
&amp;filig;                      E / Do not convert ampersand on conversion
&amp;fjlig;                      E / Do not convert ampersand on conversion
&amp;ffilig;                     E / Do not convert ampersand on conversion
&amp;ffllig;                     E / Do not convert ampersand on conversion
&amp;fllig;                      E / Do not convert ampersand on conversion
&amp;mldr;                       E / Do not convert ampersand on conversion
&amp;rdquor;                     E / Do not convert ampersand on conversion
&amp;rsquor;                     E / Do not convert ampersand on conversion
&amp;vellip;                     E / Do not convert ampersand on conversion
&amp;hybull;                     E / Do not convert ampersand on conversion
&amp;loz;                        E / Do not convert ampersand on conversion
&amp;lozf;                       E / Do not convert ampersand on conversion
&amp;ltri;                       E / Do not convert ampersand on conversion
&amp;rtri;                       E / Do not convert ampersand on conversion
&amp;starf;                      E / Do not convert ampersand on conversion
&amp;natur;                      E / Do not convert ampersand on conversion
&amp;rx;                         E / Do not convert ampersand on conversion
&amp;sext;                       E / Do not convert ampersand on conversion
&amp;target;                     E / Do not convert ampersand on conversion
&amp;dlcrop;                     E / Do not convert ampersand on conversion
&amp;drcrop;                     E / Do not convert ampersand on conversion
&amp;ulcrop;                     E / Do not convert ampersand on conversion
&amp;urcrop;                     E / Do not convert ampersand on conversion
&amp;scriptE;                    E / Do not convert ampersand on conversion
&amp;circlePlus;                 E / Do not convert ampersand on conversion
&amp;equalParallel;              E / Do not convert ampersand on conversion
&amp;viewdataSquare;             E / Do not convert ampersand on conversion
&amp;scriptF;                    E / Do not convert ampersand on conversion
&amp;scriptM;                    E / Do not convert ampersand on conversion
&amp;scriptl;                    E / Do not convert ampersand on conversion
&amp;DZcaron;                    E / Do not convert ampersand on conversion
&amp;grave;                      E / Do not convert ampersand on conversion
&amp;acute;                      E / Do not convert ampersand on conversion
&amp;peso;                       E / Do not convert ampersand on conversion
&amp;le;                         E / Do not convert ampersand on conversion
&amp;leEq;                       E / Do not convert ampersand on conversion
&amp;ge;                         E / Do not convert ampersand on conversion
&amp;radic;                      E / Do not convert ampersand on conversion
&amp;half;                       E / Do not convert ampersand on conversion
&amp;frac12;                     E / Do not convert ampersand on conversion
&amp;frac14;                     E / Do not convert ampersand on conversion
&amp;frac34;                     E / Do not convert ampersand on conversion
&amp;rlarr2;                     E / Do not convert ampersand on conversion
&amp;swungdash;                  E / Do not convert ampersand on conversion
&amp;approx;                     E / Do not convert ampersand on conversion
&amp;cuwed;                      E / Do not convert ampersand on conversion
&amp;sup1;                       E / Do not convert ampersand on conversion
&amp;sup2;                       E / Do not convert ampersand on conversion
&amp;sup3;                       E / Do not convert ampersand on conversion
&amp;plus;                       E / Do not convert ampersand on conversion
&amp;plusmn;                     E / Do not convert ampersand on conversion
&amp;equals;                     E / Do not convert ampersand on conversion
